YdreFjord;UpperIndrefjord;NedreIndreFjord;Kattegat
18.51239189;16.57344916;19.16192194;24.19388732
18.47460417;16.56539683;19.13676389;24.31790415
18.27006247;16.56924291;19.12871137;24.44192097
18.06552078;16.57308899;19.12065884;24.5659378
17.86097908;16.57693507;19.11260632;24.68995462
17.65643738;16.58078115;19.1045538;24.81397145
17.45189568;16.58462723;19.09650128;24.93798828
17.24735399;16.58847331;19.08844875;25.0620051
17.04281229;16.59231939;19.08039623;25.18602193
16.83827059;16.59616546;19.07234371;25.31003876
16.6337289;16.60001154;19.06429118;25.43405558
16.4291872;16.60385762;19.05623866;25.55807241
16.2246455;16.6077037;19.04818614;25.68208923
16.0201038;16.61154978;19.04013362;25.80610606
15.81556211;16.61539586;19.03208109;25.75253752
15.61102041;16.61924194;19.02402857;25.69896898
15.64470659;16.61732067;19.0341;25.64540044
15.67839277;16.61539939;19.04417143;25.5918319
15.71207896;16.61347812;19.05424286;25.53826336
15.74576514;16.61155684;19.06431428;25.48469482
15.77945132;16.60963557;19.07438571;25.43112628
15.8131375;16.60771429;19.08445714;25.37755774
15.84682368;16.59899604;19.08545357;25.3239892
15.88050987;16.59027778;19.08645;25.27042066
15.91419605;16.58155953;19.08744643;25.21685212
15.94788223;16.57284127;19.08844285;25.16328358
15.98156841;16.56412302;19.08943928;25.11251517
16.01525459;16.55540477;19.09043571;25.06174676
16.04894077;16.54668651;19.09143214;25.01097835
16.08262696;16.53796826;19.09242857;24.96020994
16.11631314;16.52925;19.093425;24.90944152
16.14999932;16.52053175;19.09442143;24.85867311
16.1836855;16.5118135;19.09541785;24.8079047
16.21737168;16.50309524;19.09641428;24.75713629
16.25105787;16.49437699;19.09741071;24.70636788
16.28474405;16.48565873;19.09840714;24.65559947
16.31843023;16.47694048;19.09940357;24.60483106
16.24053239;16.46822223;19.1004;24.55406265
16.16263455;16.45950397;19.10139642;24.50329423
16.08473671;16.45078572;19.10239285;24.45252582
16.00683887;16.44206746;19.10338928;24.40175741
15.92894103;16.43334921;19.10438571;24.350989
15.85104319;16.43851389;19.12572589;24.30022059
15.77314535;16.44367858;19.14706607;24.29247966
15.69524751;16.44884326;19.16840625;24.28473874
15.61734967;16.45400794;19.18974643;24.27699781
15.53945183;16.45917262;19.2110866;24.26925689
15.46155399;16.46433731;19.23242678;24.26151596
15.38365615;16.46950199;19.25376696;24.25377504
15.30575831;16.47466667;19.27510714;24.24603411
15.22786047;16.47983135;19.29644732;24.23829318
15.3977572;16.48499604;19.3177875;24.23055226
15.56765392;16.49016072;19.33912768;24.22281133
15.73755065;16.4953254;19.36046786;24.21507041
15.90744737;16.50049008;19.38180803;24.20732948
16.0773441;16.50565477;19.40314821;24.19958856
16.24724082;16.51081945;19.42448839;24.19184763
16.41713755;16.51598413;19.44582857;24.1841067
16.58703428;16.51612445;19.44836586;24.17636578
16.756931;16.51626476;19.45090315;24.16862485
16.92682773;16.51640508;19.45344045;24.16088393
17.09672445;16.5165454;19.45597774;24.153143
17.26662118;16.51668572;19.45851503;24.14540207
17.4365179;16.51682603;19.46105232;24.13766115
17.60641463;16.51696635;19.46358961;24.12992022
17.49690163;16.51710667;19.46612691;24.1221793
17.38738862;16.51724698;19.4686642;24.11443837
17.27787562;16.5173873;19.47120149;24.10669745
17.16836261;16.51752762;19.47373878;24.09895652
