Dato;OvreTN;OvreInorganisk_N[mg/l];OvreOrganisk_N[mg/l];NedreTN;NedreInorganisk_N[mg/l];NedreOrganisk_N[mg/l]
2017-09-16;0.712528585714286;0.1097857142857143;0.6027428714285716;2.21640664285714;1.7539107142857129;0.4624959285714272
2017-09-17;0.7261988;0.11685714285714291;0.6093416571428572;2.23330242857143;1.7720071428571385;0.4612952857142916
2017-09-18;0.739869014285714;0.12392857142857139;0.6159404428571427;2.25019821428571;1.7901035714285745;0.4600946428571356
2017-09-19;0.7535392285714291;0.131;0.6225392285714291;2.267094;1.8082;0.458894
2017-09-20;0.767209442857143;0.1307142857142857;0.6364951571428573;2.37659414285714;1.835790476190477;0.540803666666663
2017-09-21;0.780879657142857;0.1304285714285714;0.6504510857142857;2.48609428571429;1.8633809523809541;0.6227133333333359
2017-09-22;0.794549871428571;0.13014285714285712;0.6644070142857139;2.59559442857143;1.8909714285714316;0.7046229999999984
2017-09-23;0.808220085714286;0.1298571428571429;0.6783629428571432;2.70509457142857;1.9185619047619087;0.7865326666666613
2017-09-24;0.8218903000000001;0.129571428571429;0.6923188714285711;2.8145947142857097;1.9461523809523855;0.8684423333333243
2017-09-25;0.8335366214285711;0.129285714285714;0.7042509071428571;2.92409485714286;1.9737428571428528;0.9503520000000072
2017-09-26;0.845182942857143;0.129;0.716182942857143;3.033595;2.00133333333333;1.0322616666666697
2017-09-27;0.856829264285714;0.142642857142857;0.714186407142857;2.99840978571429;2.022452380952379;0.9759574047619115
2017-09-28;0.8684755857142861;0.156285714285714;0.712189871428572;2.96322457142857;2.0435714285714273;0.919653142857143
2017-09-29;0.8801219071428571;0.16992857142857098;0.710193335714286;2.92803935714286;2.0646904761904756;0.8633488809523843
2017-09-30;0.891768228571429;0.18357142857142902;0.7081968;2.8928541428571397;2.0858095238095244;0.8070446190476155
2017-10-01;0.9034145499999999;0.197214285714286;0.7062002642857139;2.8576689285714303;2.106928571428573;0.7507403571428573
2017-10-02;0.915060871428571;0.21085714285714302;0.704203728571428;2.82248371428571;2.1280476190476216;0.6944360952380885
2017-10-03;0.926707192857143;0.2245;0.7022071928571431;2.7872985;2.14916666666667;0.6381318333333298
2017-10-04;0.938353514285714;0.238142857142857;0.700210657142857;2.7521132857142905;2.1702857142857184;0.5818275714285719
2017-10-05;0.9499998357142859;0.251785714285714;0.698214121428572;2.71692807142857;2.191404761904757;0.5255233095238132
2017-10-06;0.961646157142857;0.265428571428571;0.6962175857142859;2.68174285714286;2.2125238095238062;0.469219047619054
2017-10-07;0.973292478571429;0.279071428571429;0.69422105;2.64655764285714;2.233642857142854;0.4129147857142857
2017-10-08;0.9849388;0.29271428571428604;0.6922245142857141;2.61137242857143;2.2547619047619034;0.35661052380952696
