Dato;Inorganisk_N[mg/l];Organisk_N[mg/l]
2017-03-19;1.2498571428571386;0.17255278571429153
2017-03-20;1.2592857142857128;0.1417534285714271
2017-03-21;1.2687142857142872;0.11095407142857289
2017-03-22;1.2781428571428615;0.08015471428570868
2017-03-23;1.2875714285714257;0.04935535714286425
2017-03-24;1.297;0.01855600000000004
2017-03-25;1.3064285714285744;0.0
2017-03-26;1.3158571428571386;0.0
2017-03-27;1.3252857142857128;0.0
2017-03-28;1.334714285714287;0.0
2017-03-29;1.3441428571428615;0.0
2017-03-30;1.3535714285714258;0.0
2017-03-31;1.363;0.0
2017-04-01;1.3335000000000043;0.0
2017-04-02;1.3039999999999987;0.0
2017-04-03;1.274500000000003;0.0
2017-04-04;1.244999999999997;0.0
2017-04-05;1.2155000000000014;0.0
2017-04-06;1.185999999999996;0.0
2017-04-07;1.1565;0.0
2017-04-08;1.1270000000000042;0.02528164285713592
2017-04-09;1.0975;0.05307178571428994
2017-04-10;1.068;0.0808619285714301
2017-04-11;1.0385;0.10865207142857003
2017-04-12;1.0090000000000001;0.13644221428570996
2017-04-13;0.9795;0.1642323571428601
2017-04-14;0.9500000000000001;0.19202250000000004
2017-04-15;0.9400000000000001;0.19411638928571007
2017-04-16;0.93;0.19621027857143009
2017-04-17;0.92;0.1983041678571401
2017-04-18;0.91;0.2003980571428599
2017-04-19;0.9;0.20249194642856994
2017-04-20;0.89;0.20458583571428995
2017-04-21;0.88;0.20667972499999995
2017-04-22;0.87;0.20877361428570998
2017-04-23;0.86;0.21086750357143
2017-04-24;0.85;0.21296139285714002
2017-04-25;0.84;0.21505528214286004
2017-04-26;0.8300000000000001;0.21714917142857007
2017-04-27;0.8200000000000001;0.2192430607142901
2017-04-28;0.81;0.2213369499999999
2017-04-29;0.7892857142857146;0.21928970357142544
2017-04-30;0.7685714285714281;0.21724245714285792
2017-05-01;0.7478571428571427;0.21519521071428632
2017-05-02;0.7271428571428573;0.21314796428571367
2017-05-03;0.706428571428572;0.21110071785714207
2017-05-04;0.6857142857142855;0.20905347142857159
2017-05-05;0.665;0.207006225
2017-05-06;0.6442857142857146;0.20495897857142847
2017-05-07;0.6235714285714281;0.2029117321428579
2017-05-08;0.6028571428571426;0.2008644857142864
2017-05-09;0.5821428571428573;0.19881723928571365
2017-05-10;0.5614285714285719;0.19676999285714214
2017-05-11;0.5407142857142855;0.19472274642857157
2017-05-12;0.52;0.19267550000000006
2017-05-13;0.5292857142857145;0.20731474999999955
2017-05-14;0.5385714285714289;0.22195400000000007
2017-05-15;0.5478571428571434;0.23659324999999967
2017-05-16;0.5571428571428567;0.2512325000000003
2017-05-17;0.566428571428571;0.26587175
2017-05-18;0.5757142857142861;0.28051099999999995
2017-05-19;0.585;0.29515025000000006
2017-05-20;0.594285714285714;0.3097895
2017-05-21;0.603571428571429;0.32442875000000004
2017-05-22;0.612857142857143;0.339068
2017-05-23;0.622142857142857;0.35370725000000003
2017-05-24;0.631428571428571;0.3683465
2017-05-25;0.640714285714286;0.38298575000000407
2017-05-26;0.65;0.397625
2017-05-27;0.621157894736842;0.416700136842108
2017-05-28;0.592315789473684;0.43577527368420593
2017-05-29;0.563473684210526;0.45485041052631403
2017-05-30;0.534631578947368;0.473925547368422
2017-05-31;0.50578947368421;0.4930006842105271
2017-06-01;0.47694736842105206;0.512075821052632
2017-06-02;0.448105263157894;0.531150957894738
2017-06-03;0.419263157894736;0.550226094736843
2017-06-04;0.390421052631578;0.5693012315789481
