Dato;Inorganisk_N[mg/l];Organisk_N[mg/l]
28-08-2017;0.007216666667;0.182594400033
29-08-2017;0.007023809525;0.18299770947500002
30-08-2017;0.006830952380999999;0.183401019019
31-08-2017;0.0066380952390000005;0.183804328561
01-09-2017;0.006445238095000001;0.18420763810500002
02-09-2017;0.006252380953;0.184610947547
03-09-2017;0.006059523809;0.185014257091
04-09-2017;0.005866666667;0.18541756663300002
05-09-2017;0.006842857144;0.182880690456
06-09-2017;0.00781904762;0.18034381428000001
07-09-2017;0.008795238097;0.177806938103
08-09-2017;0.009771428573;0.17527006182699997
09-09-2017;0.01074761905;0.17273318565
10-09-2017;0.011723809526;0.170196309474
11-09-2017;0.012700000002999999;0.16765943329700003
12-09-2017;0.013676190477999998;0.16512255712200002
13-09-2017;0.014652380956999998;0.162585680943
14-09-2017;0.015628571429;0.160048804771
15-09-2017;0.016604761911;0.157511928489
16-09-2017;0.017580952383;0.15497505231699998
17-09-2017;0.018557142865;0.152438176135
18-09-2017;0.019533333336999997;0.14990129996300003
19-09-2017;0.019626984133;0.148940649167
20-09-2017;0.019720634929;0.147979998371
21-09-2017;0.019814285715;0.147019347585
22-09-2017;0.019907936511;0.14605869678900002
23-09-2017;0.020001587307000003;0.145098045993
24-09-2017;0.020095238103;0.144137395197
25-09-2017;0.020188888889;0.143176744411
26-09-2017;0.020282539685;0.142216093615
27-09-2017;0.020376190481;0.141255442819
28-09-2017;0.020469841277000002;0.14029479202300002
29-09-2017;0.020563492063;0.139334141237
30-09-2017;0.020657142859;0.138373490441
01-10-2017;0.020750793655;0.137412839645
02-10-2017;0.020844444451;0.13645218884899998
03-10-2017;0.020938095237;0.13549153806300002
04-10-2017;0.021031746033000003;0.134530887267
05-10-2017;0.021125396829000002;0.133570236471
06-10-2017;0.021219047624999997;0.132609585675
07-10-2017;0.021312698411;0.13164893488899998
08-10-2017;0.021406349207;0.13068828409299998
09-10-2017;0.021500000003;0.12972763329700002
10-10-2017;0.022637500006;0.13475089579400001
11-10-2017;0.023774999999999998;0.13977415829999998
12-10-2017;0.0249125;0.1447974208
13-10-2017;0.026050000009999998;0.14982068329
14-10-2017;0.0271875;0.1548439458
15-10-2017;0.028325000000000003;0.1598672083
16-10-2017;0.029462500004;0.16489047079600003
17-10-2017;0.030600000000000002;0.1699137333
18-10-2017;0.030611111113;0.16783085548700002
19-10-2017;0.030622222227000003;0.16574797777300002
20-10-2017;0.03063333334;0.16366509996
21-10-2017;0.030644444442999998;0.161582222157
22-10-2017;0.030655555557;0.15949934444299999
23-10-2017;0.030666666670000002;0.15741646662999997
24-10-2017;0.030595238103;0.15728508249700002
25-10-2017;0.030523809524999997;0.157153698375
26-10-2017;0.030452380958;0.15702231424200003
27-10-2017;0.030380952381;0.15689093011900002
28-10-2017;0.030309523814000004;0.15675954598599998
29-10-2017;0.030238095236;0.15662816186400003
30-10-2017;0.030166666669000003;0.15649677773100001
31-10-2017;0.030095238102000006;0.156365393598
01-11-2017;0.030023809524;0.15623400947600002
02-11-2017;0.029952380957;0.156102625343
03-11-2017;0.02988095238;0.15597124131999998
04-11-2017;0.029809523812999998;0.155839857187
05-11-2017;0.029738095235;0.155708473065
06-11-2017;0.029666666668;0.15557708893199998
07-11-2017;0.029595238101;0.155445704799
08-11-2017;0.029523809523000002;0.155314320677
09-11-2017;0.029452380955999998;0.15518293654400003
10-11-2017;0.029380952379;0.155051552421
11-11-2017;0.029309523812;0.15492016828799998
12-11-2017;0.029238095234;0.15478878416600003
13-11-2017;0.029166666667;0.154657400033
14-11-2017;0.030623809525000004;0.15458229527499998
15-11-2017;0.032080952382;0.15450719051800002
16-11-2017;0.03353809524;0.15443208576
17-11-2017;0.034995238096999996;0.15435698100300002
18-11-2017;0.036452380955;0.154281876245
19-11-2017;0.037909523812;0.154206771488
20-11-2017;0.03936666667;0.15413166673
21-11-2017;0.040823809518;0.154056561882
22-11-2017;0.042280952375;0.153981457125
23-11-2017;0.043738095233000006;0.153906352367
24-11-2017;0.04519523809;0.15383124761
25-11-2017;0.046652380948000005;0.153756142852
26-11-2017;0.048109523805000005;0.153681038095
27-11-2017;0.049566666663;0.15360593333699998
28-11-2017;0.050954761901;0.15341979519900004
29-11-2017;0.052342857138;0.15323365716200002
30-11-2017;0.053730952376;0.153047519024
01-12-2017;0.055119047614;0.152861380986
02-12-2017;0.056507142850999996;0.152675242849
03-12-2017;0.057895238089;0.152489104811
04-12-2017;0.059283333337000005;0.152302966663
05-12-2017;0.06067142857400001;0.152116828526
06-12-2017;0.06205952381;0.15193069049
07-12-2017;0.06344761905;0.15174455235
08-12-2017;0.06483571429;0.15155841431
09-12-2017;0.06622380952000001;0.15137227618000001
10-12-2017;0.06761190476000001;0.15118613814000004
11-12-2017;0.069;0.151
12-12-2017;0.06952738095000001;0.14999642855
13-12-2017;0.07005476191;0.14899285719
14-12-2017;0.07058214286;0.14798928573999998
15-12-2017;0.07110952381;0.14698571428999999
16-12-2017;0.07163690476000001;0.14598214284
17-12-2017;0.07216428572000001;0.14497857148
18-12-2017;0.07269166667;0.14397500003
19-12-2017;0.07321904762;0.14297142858
20-12-2017;0.07374642858;0.14196785712
21-12-2017;0.07427380953000001;0.14096428577
22-12-2017;0.07480119048;0.13996071431999998
23-12-2017;0.07532857143000002;0.13895714287
24-12-2017;0.07585595239;0.13795357141
25-12-2017;0.07638333334;0.13695000006
26-12-2017;0.07691071428000001;0.13594642862
27-12-2017;0.07743809524000002;0.13494285716
28-12-2017;0.07796547619;0.13393928571000005
29-12-2017;0.07849285714;0.13293571436
30-12-2017;0.07902023809;0.13193214291000002
31-12-2017;0.07954761904999999;0.13092857145
01-01-2018;0.08007500000000001;0.129925
02-01-2018;0.08060238095;0.12892142865
03-01-2018;0.08112976191;0.12791785718999998
04-01-2018;0.08165714286;0.12691428574
05-01-2018;0.08218452381000001;0.12591071429
06-01-2018;0.08271190476;0.12490714294000002
07-01-2018;0.08323928572;0.12390357148000002
08-01-2018;0.08376666666999999;0.12290000003000001
09-01-2018;0.083942592592;0.123650000008
10-01-2018;0.08411851852300001;0.12439999997699999
11-01-2018;0.08429444444499999;0.12515000005500002
12-01-2018;0.08447037037600001;0.125900000024
13-01-2018;0.08464629629800001;0.126650000002
14-01-2018;0.08482222222899999;0.12739999997100002
15-01-2018;0.084998148151;0.12815000004900004
16-01-2018;0.085174074082;0.12890000001799998
17-01-2018;0.08535000000399999;0.12964999999600002
18-01-2018;0.085525925925;0.130399999975
19-01-2018;0.08570185185700001;0.13114999994299997
20-01-2018;0.085877777778;0.131900000022
21-01-2018;0.08605370371000001;0.13264999999
22-01-2018;0.086229629631;0.13339999996899995
23-01-2018;0.08640555556299999;0.13414999993700003
24-01-2018;0.086581481484;0.134900000016
25-01-2018;0.08675740741600001;0.135649999984
26-01-2018;0.086933333337;0.136399999963
27-01-2018;0.088330000004;0.13933666659600003
28-01-2018;0.08972666667;0.14227333333000003
29-01-2018;0.091123333337;0.145209999963
30-01-2018;0.092520000003;0.148146666697
31-01-2018;0.09391666667;0.15108333333
01-02-2018;0.09531333333700001;0.15401999996299998
02-02-2018;0.09671000000300001;0.156956666697
03-02-2018;0.09810666667;0.15989333333000003
04-02-2018;0.099503333336;0.16283000006400003
05-02-2018;0.100900000003;0.16576666669700002
06-02-2018;0.100103571435;0.165551190465
07-02-2018;0.099307142857;0.16533571434299998
08-02-2018;0.09851071428899999;0.16512023811100002
09-02-2018;0.097714285721;0.16490476187899997
10-02-2018;0.09691785714300001;0.164689285757
11-02-2018;0.096121428575;0.16447380952500004
12-02-2018;0.095325000007;0.16425833339300003
13-02-2018;0.094528571428;0.16404285717199998
14-02-2018;0.09373214285999999;0.16382738094000002
15-02-2018;0.09293571428200001;0.16361190481800003
16-02-2018;0.092139285714;0.163396428586
17-02-2018;0.091342857146;0.16318095235400001
18-02-2018;0.09054642856799999;0.16296547623200003
19-02-2018;0.08975;0.16275
20-02-2018;0.08833229167000001;0.16317812502999998
21-02-2018;0.08691458333;0.16360624997
22-02-2018;0.085496875;0.164034375
23-02-2018;0.08407916667;0.16446250003000001
24-02-2018;0.08266145833;0.16489062496999998
25-02-2018;0.08124375;0.16531875
26-02-2018;0.07982604167;0.16574687503000002
27-02-2018;0.07840833334;0.16617500006
28-02-2018;0.076990625;0.16660312500000002
01-03-2018;0.07557291667;0.16703125003000002
02-03-2018;0.07415520834;0.16745937506
03-03-2018;0.0727375;0.1678875
04-03-2018;0.07131979167000001;0.16831562503
05-03-2018;0.06990208334;0.16874375005999998
06-03-2018;0.068484375;0.169171875
07-03-2018;0.06706666667;0.16960000003000003
08-03-2018;0.06260297620000001;0.1709089286
09-03-2018;0.05813928572;0.17221785718000002
10-03-2018;0.053675595240000006;0.17352678576
11-03-2018;0.049211904759999994;0.17483571433999998
12-03-2018;0.04474821429;0.17614464291
13-03-2018;0.04028452381;0.17745357149000002
14-03-2018;0.035820833340000004;0.17876250006
15-03-2018;0.03135714286;0.18007142854
16-03-2018;0.026893452381000004;0.181380357119
17-03-2018;0.022429761907;0.182689285693
18-03-2018;0.017966071433;0.183998214267
19-03-2018;0.013502380953;0.185307142847
20-03-2018;0.009038690476;0.18661607142400002
21-03-2018;0.004575;0.187925
22-03-2018;0.006072807017000001;0.186821929783
23-03-2018;0.007570614035;0.185718859665
24-03-2018;0.009068421052;0.18461578944800003
25-03-2018;0.010566228070000001;0.18351271933000002
26-03-2018;0.012064035086000001;0.182409649114
27-03-2018;0.013561842107;0.181306578993
28-03-2018;0.015059649125;0.18020350877500002
29-03-2018;0.016557456143;0.17910043855700003
30-03-2018;0.018055263161;0.17799736843900002
31-03-2018;0.019553070169;0.176894298231
01-04-2018;0.021050877186999998;0.175791228113
02-04-2018;0.022548684205000002;0.174688157895
03-04-2018;0.024046491222999997;0.17358508767699998
04-04-2018;0.025544298241;0.172482017559
05-04-2018;0.027042105258000004;0.17137894734200002
06-04-2018;0.028539912276;0.170275877224
07-04-2018;0.030037719294000002;0.16917280700600001
08-04-2018;0.031535526311999997;0.168069736888
09-04-2018;0.03303333333;0.16696666666999999
10-04-2018;0.029862962959;0.17421111114100002
11-04-2018;0.026692592588;0.18145555561200002
12-04-2018;0.023522222217;0.188699999983
13-04-2018;0.020351851846000003;0.195944444454
14-04-2018;0.017181481483999998;0.20318888891600004
15-04-2018;0.014011111113;0.21043333338700002
16-04-2018;0.010840740740000002;0.21767777776
